Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,Final Blows / 10min,Solo Kills / 10min,"Weapon Accuracy, %",Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,"Crit Accuracy, %",Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,Long Range Kills / 10min,Storm Arrow Kills / 10min,Recon Assists / 10min,Dragonstrike Kills / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Venom Mine Kills / 10min,"Helix Rocket Accuracy, %",Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Knockbacks / 10min,Sound Barriers / 10min,Self Healing / 10min,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,Death Blossom Kills / 10min,"Airtime, %",Barrage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills / 10min,Terra Surge Kills / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,"Pummel Accuracy, %",Pummel Kills / 10min,Ravenous Vortex Kills / 10min,Annihilation Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,Life Grip Saves / 10min,Thorn Valley Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Mercy,Silver,4.08,4.35,48.76,1.92,0.79,58,373,9065,6.27,,,,,,1.91,821.64,4.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Gold,4.33,4.90,50.00,1.87,0.73,55,354,9229,5.99,,,,,,1.85,909.94,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Platinum,4.49,6.49,50.78,1.84,0.66,52,343,9246,5.77,,,,,,1.81,1030.45,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Diamond,4.47,8.92,51.29,1.79,0.62,48,331,9112,5.69,,,,,,1.76,1125.92,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Master,4.48,10.11,51.85,1.72,0.58,45,318,8849,5.63,,,,,,1.68,1218.07,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Grandmaster,4.25,12.54,50.51,1.50,0.49,42,286,8508,5.68,,,,,,1.46,1320.59,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Genji,All,2.50,3.45,49.28,18.30,5.06,64,7292,,8.09,,,,,,,,,10.13,1.60,27,16.33,1746.51,0.06,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Bronze,2.37,1.15,44.89,16.33,5.34,70,6572,,8.15,,,,,,,,,8.77,1.80,26,13.11,1707.61,0.10,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Silver,2.53,1.40,47.39,16.91,5.26,69,6777,,8.16,,,,,,,,,9.08,1.72,27,13.83,1761.78,0.09,3.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Gold,2.50,2.21,48.29,17.63,5.31,68,7044,,8.17,,,,,,,,,9.58,1.70,27,14.97,1776.23,0.08,3.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Platinum,2.51,3.53,49.10,18.32,5.21,66,7291,,8.14,,,,,,,,,10.08,1.65,28,16.22,1756.61,0.06,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Diamond,2.52,5.40,48.84,18.80,5.04,63,7469,,8.12,,,,,,,,,10.52,1.59,28,17.16,1747.53,0.05,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Master,2.48,6.67,50.16,18.79,4.72,59,7478,,8.04,,,,,,,,,10.58,1.55,27,17.51,1719.09,0.06,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Grandmaster,2.48,6.81,49.55,18.22,4.37,57,7397,,7.84,,,,,,,,,10.35,1.45,26,17.18,1685.21,0.08,3.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,All,2.11,3.40,44.27,16.94,6.15,50,8196,,8.75,,,,,,,,,10.33,1.70,41,,,,,8,1.79,60.98,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Bronze,2.05,1.24,41.51,15.51,6.14,55,7228,,8.89,,,,,,,,,9.55,2.03,38,,,,,8,2.06,56.66,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Silver,2.07,1.61,42.97,16.14,6.32,54,7455,,8.81,,,,,,,,,9.83,1.94,39,,,,,8,2.03,58.02,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Gold,2.12,2.22,43.53,16.56,6.31,54,7781,,8.76,,,,,,,,,10.11,1.86,40,,,,,8,1.98,59.78,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Platinum,2.14,3.57,44.05,17.03,6.26,51,8137,,8.78,,,,,,,,,10.41,1.76,41,,,,,8,1.86,61.30,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Diamond,2.09,5.22,43.89,17.30,6.12,49,8473,,8.78,,,,,,,,,10.59,1.65,42,,,,,9,1.73,61.64,3.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Master,2.08,6.44,44.61,17.03,5.80,47,8614,,8.74,,,,,,,,,10.35,1.50,42,,,,,9,1.55,61.26,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Grandmaster,2.02,5.74,45.21,16.65,5.52,45,8720,,8.58,,,,,,,,,10.05,1.41,42,,,,,9,1.40,60.32,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Kiriko,All,4.63,5.87,46.06,8.16,3.48,70,2370,8518,5.89,,,,,,,,,,,30,,,,,15,,,,8.10,6.65,17.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Bronze,4.46,2.95,43.54,7.39,3.51,72,2173,7804,6.16,,,,,,,,,,,29,,,,,13,,,,7.34,5.15,16.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Silver,4.53,3.18,45.16,7.61,3.55,72,2172,8183,6.09,,,,,,,,,,,29,,,,,14,,,,7.56,5.59,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Gold,4.68,4.08,45.25,7.71,3.50,72,2198,8426,5.97,,,,,,,,,,,30,,,,,14,,,,7.66,6.09,17.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Platinum,4.71,5.51,45.67,8.00,3.51,71,2281,8618,5.87,,,,,,,,,,,30,,,,,15,,,,7.94,6.64,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Diamond,4.62,7.89,45.43,8.37,3.49,69,2421,8643,5.87,,,,,,,,,,,30,,,,,15,,,,8.30,7.04,18.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Master,4.55,9.49,46.32,8.60,3.45,66,2548,8524,5.86,,,,,,,,,,,29,,,,,16,,,,8.53,7.25,17.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Grandmaster,4.53,14.41,48.68,9.07,3.39,61,2855,8460,5.83,,,,,,,,,,,28,,,,,17,,,,8.98,7.33,18.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Hanzo,All,3.13,4.09,48.29,17.25,5.87,50,7654,,7.70,,,,,,,,,11.21,2.57,30,,,,,13,,,,,,,2.54,5.40,3.76,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Bronze,3.04,1.85,44.40,16.05,6.14,53,7239,,7.76,,,,,,,,,10.51,2.59,30,,,,,12,,,,,,,2.41,4.84,3.11,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Silver,3.11,2.16,46.99,16.54,6.22,51,7398,,7.74,,,,,,,,,10.73,2.60,30,,,,,12,,,,,,,2.51,4.92,3.27,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Gold,3.21,2.96,48.28,17.13,6.23,52,7577,,7.71,,,,,,,,,11.12,2.62,30,,,,,12,,,,,,,2.54,5.12,3.51,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Platinum,3.15,4.15,48.05,17.52,6.08,51,7730,,7.72,,,,,,,,,11.41,2.61,30,,,,,12,,,,,,,2.58,5.40,3.75,1.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Diamond,3.11,5.84,48.09,17.55,5.78,49,7771,,7.78,,,,,,,,,11.42,2.60,30,,,,,13,,,,,,,2.56,5.61,3.93,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Master,3.03,7.38,48.26,17.08,5.36,46,7651,,7.77,,,,,,,,,11.06,2.50,29,,,,,13,,,,,,,2.53,5.65,4.04,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Grandmaster,2.98,7.61,48.10,16.23,4.78,43,7454,,7.68,,,,,,,,,10.52,2.34,28,,,,,13,,,,,,,2.44,5.56,4.05,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Moira,All,6.37,5.12,48.68,18.03,8.26,86,5415,9498,6.08,,,,,,,,,,,,,,,,,,,,,,,,,,,49,8.81,45,63,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Bronze,5.94,4.98,45.81,17.16,8.26,89,5282,8573,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,46,8.62,42,66,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Silver,6.16,4.85,47.69,17.65,8.42,90,5296,9047,6.29,,,,,,,,,,,,,,,,,,,,,,,,,,,47,8.69,44,65,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Gold,6.40,5.15,48.61,17.91,8.44,88,5350,9400,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,48,8.71,46,65,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Platinum,6.50,5.35,48.46,18.17,8.34,87,5422,9660,6.03,,,,,,,,,,,,,,,,,,,,,,,,,,,49,8.84,46,63,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Diamond,6.37,5.72,48.48,18.19,8.09,83,5487,9703,6.07,,,,,,,,,,,,,,,,,,,,,,,,,,,50,8.86,45,63,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Master,6.11,5.64,48.16,17.80,7.73,80,5454,9486,6.18,,,,,,,,,,,,,,,,,,,,,,,,,,,50,8.68,43,62,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Grandmaster,5.87,6.07,47.50,17.37,7.37,77,5418,9405,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,49,8.44,42,62,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Reinhardt,All,2.91,3.17,50.57,16.35,5.94,117,8334,,7.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3.79,7.11,3.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Bronze,2.57,1.73,45.84,14.97,5.95,126,7243,,7.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.79,5.82,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Silver,2.84,2.07,48.68,15.86,6.20,126,7734,,7.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.88,6.34,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
