Hero,Skill Tier,KDA Ratio,"Pick Rate, %","Win Rate, %",Eliminations / 10min,Objective Kills / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,"Scoped Accuracy, %",Biotic Grenade Kills / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Blaster Kills / 10min,Damage Amplified / 10min,Players Resurrected / 10min,Final Blows / 10min,Solo Kills / 10min,"Weapon Accuracy, %","Crit Accuracy, %",Deadeye Kills / 10min,Magnetic Grenade Attaches,Magnetic Grenade Kills / 10min,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Dragonblade Kills / 10min,Kunai Kills / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,"Secondary Accuracy, %",Biotic Orb Kills / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Coalescence Kills / 10min,Objective Contest Time / 10min,Charge Kills / 10min,Fire Strike Kills / 10min,Earthshatter Kills / 10min,Long Range Kills / 10min,Storm Arrow Kills / 10min,Recon Assists / 10min,Dragonstrike Kills / 10min,Venom Mine Kills / 10min,"Helix Rocket Accuracy, %",Helix Rocket Kills / 10min,Tactical Visor Kills / 10min,"Charged Volley Accuracy, %",Charged Volley Kills / 10min,Transcendence Healing / 10min,Knockbacks / 10min,Sound Barriers / 10min,"Micro Missile Kills, % / 10min",Call Mech Kills / 10min,Self-Destruct Kills / 10min,Direct Hits,Concussion Mine Kills / 10min,Enemies Trapped / 10min,Coach Gun Kills / 10min,Dynamite Kills / 10min,Bob Kills / 10min,Self Healing / 10min,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,Pulse Bomb Kills / 10min,Chain Hook Kills / 10min,"Chain Hook Accuracy, %",Whole Hog Kills / 10min,"Primary Accuracy, %",High Energy Kills / 10min,"Average Energy, %",Graviton Surge Kills / 10min,Death Blossom Kills / 10min,Healing Accuracy,Deaths Prevented / 10min,Amp Matrix Assists / 10min,Energy Javelin Kills / 10min,Javelin Spin Kills / 10min,Terra Surge Kills / 10min,"Airtime, %",Barrage Kills / 10min,Accretion Kills / 10min,Overhealth / 10min,Gravitic Flux Kills / 10min,Rocket Punch Kills / 10min,Seismic Slam Kills / 10min,Meteor Strike Kills / 10min,Inspire Uptime,"Icicle Accuracy, % / 10min","Icicle Crit Accuracy, % / 10min",Enemies Frozen / 10min,Blizzard Kills / 10min,Jump Pack Kills / 10min,Primal Rage Kills / 10min,Recon Kills / 10min,Assault Kills / 10min,Tactical Grenade Kills / 10min,Artillery Kills / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,EMP Kills / 10min,Grappling Claw Kills / 10min,Piledriver Kills / 10min,"Charged Shot Accuracy, %","Charged Crit Accuracy, %",Charged Shot Kills / 10min,Disruptor Shot Kills / 10min,Overclock Kills / 10min,Average Damage Multiplier,Players Teleported / 10min,Sentry Turret Kills / 10min,Hammer Kills / 10min,Turret Kills / 10min,Molten Core Kills / 10min,"Pummel Accuracy, %",Pummel Kills / 10min,Ravenous Vortex Kills / 10min,Annihilation Kills / 10min,"Jagged Blade Accuracy, %",Carnage Kills / 10min,"Wound Uptime, %",Rampage Kills / 10min,"Focusing Beam Accuracy, %",Focusing Beam Kills / 10min,"Sticky Bomb Accuracy, %",Sticky Bomb Kills / 10min,Duplicate Kills / 10min,Role
Mercy,Silver,3.84,3.48,48.46,1.89,0.81,58,357,8802,6.57,,,,,,1.87,820.87,4.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Gold,4.03,3.87,49.77,1.81,0.73,56,344,9009,6.32,,,,,,1.79,896.33,4.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Platinum,4.24,5.47,51.27,1.77,0.67,53,331,9066,6.02,,,,,,1.75,998.52,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Diamond,4.26,9.36,51.80,1.76,0.62,49,326,8963,5.86,,,,,,1.72,1118.44,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Master,4.30,11.90,52.56,1.71,0.59,45,318,8721,5.83,,,,,,1.67,1231.77,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Mercy,Grandmaster,4.37,17.97,52.16,1.56,0.53,42,296,8478,5.71,,,,,,1.52,1341.95,4.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Cassidy,All,2.45,6.15,49.68,18.11,6.74,55,8735,,8.01,,,,,,,,,11.14,1.85,42,8,1.93,60.30,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Bronze,2.22,1.62,43.02,15.72,6.56,61,7402,,8.38,,,,,,,,,9.57,2.01,38,8,2.09,55.10,4.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Silver,2.28,2.03,45.79,16.64,6.71,60,7715,,8.26,,,,,,,,,10.18,2.05,39,8,2.12,57.18,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Gold,2.44,2.85,47.34,17.37,6.81,58,8110,,8.12,,,,,,,,,10.62,1.99,40,8,2.09,58.89,5.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Platinum,2.46,5.18,48.84,18.10,6.89,56,8568,,8.06,,,,,,,,,11.14,1.93,42,8,2.02,60.31,5.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Diamond,2.50,10.21,50.22,18.60,6.83,54,8967,,8.01,,,,,,,,,11.50,1.86,42,8,1.92,61.10,5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Master,2.45,15.45,50.35,18.68,6.65,52,9277,,7.94,,,,,,,,,11.53,1.74,43,9,1.79,61.31,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Cassidy,Grandmaster,2.45,19.55,51.77,18.36,6.25,48,9584,,7.77,,,,,,,,,11.31,1.56,44,9,1.57,60.87,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,All,2.43,4.05,50.74,18.11,5.17,65,7341,,8.27,,,,,,,,,9.95,1.62,28,,,,,16.13,1827.77,0.05,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Bronze,2.27,1.04,44.55,15.44,5.22,71,6338,,8.37,,,,,,,,,8.02,1.64,26,,,,,12.14,1673.73,0.11,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Silver,2.24,1.10,46.33,16.04,5.31,71,6594,,8.48,,,,,,,,,8.41,1.66,27,,,,,12.91,1776.37,0.08,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Gold,2.35,1.81,48.50,17.04,5.31,68,6944,,8.37,,,,,,,,,9.12,1.68,28,,,,,14.34,1841.01,0.07,3.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Platinum,2.42,3.66,50.09,18.03,5.32,66,7270,,8.34,,,,,,,,,9.78,1.67,28,,,,,15.77,1849.39,0.05,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Diamond,2.48,6.66,50.57,18.63,5.25,65,7519,,8.27,,,,,,,,,10.31,1.64,29,,,,,16.87,1827.58,0.05,3.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Master,2.46,10.52,51.56,18.74,4.98,62,7600,,8.23,,,,,,,,,10.53,1.60,28,,,,,17.34,1827.53,0.05,3.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Genji,Grandmaster,2.51,12.51,53.37,18.77,4.69,59,7692,,8.00,,,,,,,,,10.67,1.52,28,,,,,17.73,1804.18,0.05,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Kiriko,All,4.79,7.03,46.82,8.26,3.59,69,2409,8816,5.75,,,,,,,,,,,30,14,,,,,,,,8.20,5.43,18.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Bronze,4.25,3.52,43.06,7.23,3.45,70,2154,7872,6.25,,,,,,,,,,,29,13,,,,,,,,7.19,4.20,16.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Silver,4.52,3.45,43.86,7.51,3.58,73,2177,8332,6.11,,,,,,,,,,,30,13,,,,,,,,7.47,4.70,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Gold,4.72,4.30,45.48,7.80,3.59,72,2246,8616,5.94,,,,,,,,,,,30,14,,,,,,,,7.75,5.07,18.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Platinum,4.80,6.53,46.71,8.06,3.59,71,2313,8895,5.77,,,,,,,,,,,31,14,,,,,,,,8.01,5.46,18.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Diamond,4.95,10.38,47.10,8.42,3.60,69,2444,8994,5.65,,,,,,,,,,,31,15,,,,,,,,8.36,5.79,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Master,4.86,14.57,47.92,8.82,3.65,66,2595,8962,5.59,,,,,,,,,,,31,15,,,,,,,,8.75,5.88,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Kiriko,Grandmaster,4.74,15.94,48.96,9.22,3.54,62,2868,8821,5.63,,,,,,,,,,,31,15,,,,,,,,9.15,5.47,19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,All,6.06,4.80,49.19,17.87,8.24,85,5399,9245,6.17,,,,,,,,,,,,,,,,,,,,,,,50,8.73,45,65,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Bronze,5.29,4.44,45.21,16.49,7.98,88,5098,8239,6.61,,,,,,,,,,,,,,,,,,,,,,,46,8.17,42,67,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Silver,5.77,3.92,47.27,17.33,8.31,88,5231,8762,6.43,,,,,,,,,,,,,,,,,,,,,,,48,8.49,44,67,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Gold,6.04,4.46,49.03,17.78,8.41,88,5332,9121,6.26,,,,,,,,,,,,,,,,,,,,,,,49,8.61,46,67,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Platinum,6.23,4.86,49.38,18.10,8.39,86,5427,9395,6.09,,,,,,,,,,,,,,,,,,,,,,,50,8.78,46,65,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Diamond,6.16,6.38,50.49,18.06,8.18,84,5463,9506,6.09,,,,,,,,,,,,,,,,,,,,,,,50,8.82,46,64,4.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Master,5.91,6.04,49.59,17.85,7.91,80,5475,9388,6.19,,,,,,,,,,,,,,,,,,,,,,,51,8.76,44,64,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Moira,Grandmaster,5.57,6.36,50.60,17.42,7.48,78,5532,9241,6.30,,,,,,,,,,,,,,,,,,,,,,,51,8.63,42,64,3.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support
Reinhardt,All,3.13,4.67,54.29,17.03,6.23,120,8675,,6.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,3.98,7.51,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Bronze,2.82,1.81,45.39,15.24,6.07,129,7393,,7.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,3.94,5.87,3.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Silver,3.05,2.25,50.63,16.26,6.37,130,7941,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,4.05,6.51,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Gold,3.13,2.93,52.97,16.83,6.43,126,8368,,6.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,4.06,7.08,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Platinum,3.19,4.89,54.39,17.20,6.40,122,8718,,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,4.03,7.59,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Diamond,3.14,7.56,55.01,17.22,6.17,117,8917,,6.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,3.98,7.88,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Master,3.04,9.02,54.73,16.96,5.88,113,8887,,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,3.85,7.87,3.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Reinhardt,Grandmaster,2.94,10.75,56.01,16.32,5.45,109,8563,,6.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,3.66,7.56,3.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank
Hanzo,All,3.16,3.53,49.52,17.21,6.01,50,7779,,7.71,,,,,,,,,11.10,2.63,33,12,,,,,,,,,,,,,,,,,,,,2.59,5.45,3.77,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Bronze,2.77,1.45,44.47,15.19,6.06,50,7067,,7.94,,,,,,,,,9.80,2.48,31,11,,,,,,,,,,,,,,,,,,,,2.36,4.67,3.01,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Silver,3.01,1.31,45.24,16.04,6.28,53,7305,,7.88,,,,,,,,,10.24,2.52,32,11,,,,,,,,,,,,,,,,,,,,2.49,4.82,3.25,1.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
Hanzo,Gold,3.13,1.93,48.57,16.77,6.32,53,7577,,7.73,,,,,,,,,10.71,2.58,32,12,,,,,,,,,,,,,,,,,,,,2.58,5.11,3.49,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage
